msg_count_gwgw,9984,,,
msg_cnt_gw_ce,5472,,,
value,time,ID,orig_measurement,type
1920,2024-01-01 00:00:00,1-2,1896,restaurant
1120,2024-01-01 00:00:00,1-4,1147,store
400,2024-01-01 00:00:00,9-7,400,3p_household
400,2024-01-01 00:00:00,9-5,415,4p_household
400,2024-01-01 00:00:00,9-2,398,3p_household
400,2024-01-01 00:00:00,7-10,410,4p_household
400,2024-01-01 00:00:00,7-9,415,4p_household
400,2024-01-01 00:00:00,10-3,410,3p_household
400,2024-01-01 00:00:00,1-8,399,3p_household
400,2024-01-01 00:00:00,1-1,390,4p_household
400,2024-01-01 00:00:00,6-3,390,3p_household
280,2024-01-01 00:00:00,9-6,276,2p_household
280,2024-01-01 00:00:00,10-11,284,2p_household
280,2024-01-01 00:00:00,1-6,270,2p_household
280,2024-01-01 00:00:00,1-5,276,2p_household
280,2024-01-01 00:00:00,6-6,283,2p_household
280,2024-01-01 00:00:00,6-1,275,2p_household
260,2024-01-01 00:00:00,7-8,267,2p_household
260,2024-01-01 00:00:00,7-0,265,2p_household
260,2024-01-01 00:00:00,10-10,265,2p_household
260,2024-01-01 00:00:00,10-8,264,2p_household
260,2024-01-01 00:00:00,10-0,261,2p_household
260,2024-01-01 00:00:00,1-9,262,2p_household
260,2024-01-01 00:00:00,6-5,266,2p_household
170,2024-01-01 00:00:00,9-10,168,1p_household
170,2024-01-01 00:00:00,9-9,166,1p_household
170,2024-01-01 00:00:00,9-1,165,1p_household
170,2024-01-01 00:00:00,7-6,168,1p_household
170,2024-01-01 00:00:00,7-5,172,1p_household
170,2024-01-01 00:00:00,7-3,166,1p_household
170,2024-01-01 00:00:00,7-1,171,1p_household
170,2024-01-01 00:00:00,10-12,169,1p_household
170,2024-01-01 00:00:00,10-9,168,1p_household
170,2024-01-01 00:00:00,10-6,169,1p_household
170,2024-01-01 00:00:00,10-1,171,1p_household
170,2024-01-01 00:00:00,1-7,169,1p_household
170,2024-01-01 00:00:00,1-3,167,1p_household
170,2024-01-01 00:00:00,6-4,170,1p_household
170,2024-01-01 00:00:00,6-0,170,1p_household
160,2024-01-01 00:00:00,9-8,161,1p_household
160,2024-01-01 00:00:00,9-4,157,1p_household
160,2024-01-01 00:00:00,9-3,164,1p_household
160,2024-01-01 00:00:00,9-0,162,1p_household
160,2024-01-01 00:00:00,7-7,164,1p_household
160,2024-01-01 00:00:00,7-4,157,1p_household
160,2024-01-01 00:00:00,7-2,157,1p_household
160,2024-01-01 00:00:00,10-7,164,1p_household
160,2024-01-01 00:00:00,10-5,162,1p_household
160,2024-01-01 00:00:00,10-4,159,1p_household
160,2024-01-01 00:00:00,10-2,162,1p_household
160,2024-01-01 00:00:00,1-0,157,1p_household
160,2024-01-01 00:00:00,6-2,159,1p_household
1760,2024-01-01 00:15:00,1-2,1695,restaurant
1120,2024-01-01 00:15:00,1-4,1118,store
380,2024-01-01 00:15:00,1-8,375,3p_household
380,2024-01-01 00:15:00,6-3,373,3p_household
360,2024-01-01 00:15:00,9-7,354,3p_household
360,2024-01-01 00:15:00,9-5,365,4p_household
360,2024-01-01 00:15:00,7-10,365,4p_household
360,2024-01-01 00:15:00,10-3,365,3p_household
360,2024-01-01 00:15:00,1-1,361,4p_household
340,2024-01-01 00:15:00,9-2,342,3p_household
340,2024-01-01 00:15:00,7-9,346,4p_household
260,2024-01-01 00:15:00,1-6,254,2p_household
260,2024-01-01 00:15:00,1-5,256,2p_household
260,2024-01-01 00:15:00,7-8,256,2p_household
260,2024-01-01 00:15:00,10-8,250,2p_household
260,2024-01-01 00:15:00,10-0,256,2p_household
260,2024-01-01 00:15:00,1-9,250,2p_household
240,2024-01-01 00:15:00,9-6,248,2p_household
240,2024-01-01 00:15:00,7-0,245,2p_household
240,2024-01-01 00:15:00,10-11,240,2p_household
240,2024-01-01 00:15:00,10-10,235,2p_household
240,2024-01-01 00:15:00,6-6,239,2p_household
240,2024-01-01 00:15:00,6-5,239,2p_household
240,2024-01-01 00:15:00,6-1,247,2p_household
160,2024-01-01 00:15:00,9-9,155,1p_household
160,2024-01-01 00:15:00,7-6,155,1p_household
160,2024-01-01 00:15:00,10-9,155,1p_household
160,2024-01-01 00:15:00,1-3,156,1p_household
160,2024-01-01 00:15:00,6-4,156,1p_household
160,2024-01-01 00:15:00,10-2,156,1p_household
160,2024-01-01 00:15:00,6-2,156,1p_household
150,2024-01-01 00:15:00,9-10,150,1p_household
150,2024-01-01 00:15:00,9-8,148,1p_household
150,2024-01-01 00:15:00,9-4,151,1p_household
150,2024-01-01 00:15:00,9-3,147,1p_household
150,2024-01-01 00:15:00,9-1,148,1p_household
150,2024-01-01 00:15:00,9-0,149,1p_household
150,2024-01-01 00:15:00,7-7,150,1p_household
150,2024-01-01 00:15:00,7-5,146,1p_household
150,2024-01-01 00:15:00,7-4,152,1p_household
150,2024-01-01 00:15:00,7-3,147,1p_household
150,2024-01-01 00:15:00,7-2,153,1p_household
150,2024-01-01 00:15:00,7-1,149,1p_household
150,2024-01-01 00:15:00,10-6,152,1p_household
150,2024-01-01 00:15:00,10-4,151,1p_household
