msg_count_gwgw,9888,,,
msg_cnt_gw_ce,4416,,,
value,time,ID,orig_measurement,type
160,2024-01-01 00:00:00,11-0,161,1p_household
170,2024-01-01 00:00:00,13-3,167,1p_household
400,2024-01-01 00:00:00,13-5,398,4p_household
280,2024-01-01 00:00:00,3-4,279,2p_household
260,2024-01-01 00:00:00,5-0,263,2p_household
160,2024-01-01 00:00:00,5-2,160,1p_household
160,2024-01-01 00:00:00,11-1,161,1p_household
170,2024-01-01 00:00:00,11-2,165,1p_household
170,2024-01-01 00:00:00,11-5,166,1p_household
170,2024-01-01 00:00:00,11-8,171,1p_household
380,2024-01-01 00:00:00,11-3,378,3p_household
280,2024-01-01 00:00:00,11-4,282,2p_household
280,2024-01-01 00:00:00,11-6,282,2p_household
400,2024-01-01 00:00:00,11-7,390,3p_household
260,2024-01-01 00:00:00,13-0,268,2p_household
260,2024-01-01 00:00:00,13-1,267,2p_household
260,2024-01-01 00:00:00,13-6,266,2p_household
160,2024-01-01 00:00:00,13-2,161,1p_household
160,2024-01-01 00:00:00,13-4,157,1p_household
170,2024-01-01 00:00:00,13-8,168,1p_household
380,2024-01-01 00:00:00,13-7,378,4p_household
400,2024-01-01 00:00:00,3-0,409,4p_household
160,2024-01-01 00:00:00,3-1,161,1p_household
160,2024-01-01 00:00:00,3-7,164,1p_household
160,2024-01-01 00:00:00,3-8,164,1p_household
260,2024-01-01 00:00:00,3-2,265,2p_household
260,2024-01-01 00:00:00,3-6,260,2p_household
1120,2024-01-01 00:00:00,3-3,1120,store
170,2024-01-01 00:00:00,3-5,172,1p_household
160,2024-01-01 00:00:00,5-1,161,1p_household
160,2024-01-01 00:00:00,5-3,162,1p_household
170,2024-01-01 00:00:00,5-4,169,1p_household
170,2024-01-01 00:00:00,5-10,170,1p_household
280,2024-01-01 00:00:00,5-5,275,2p_household
280,2024-01-01 00:00:00,5-8,278,2p_household
380,2024-01-01 00:00:00,5-6,379,4p_household
400,2024-01-01 00:00:00,5-7,392,4p_household
400,2024-01-01 00:00:00,5-9,413,4p_household
160,2024-01-01 00:00:00,8-0,162,1p_household
160,2024-01-01 00:00:00,8-2,161,1p_household
160,2024-01-01 00:00:00,8-4,158,1p_household
280,2024-01-01 00:00:00,8-1,281,2p_household
280,2024-01-01 00:00:00,8-3,274,2p_household
400,2024-01-01 00:00:00,8-5,395,3p_household
260,2024-01-01 00:00:00,8-6,263,2p_household
260,2024-01-01 00:15:00,13-0,255,2p_household
240,2024-01-01 00:15:00,13-1,236,2p_household
150,2024-01-01 00:15:00,13-2,154,1p_household
150,2024-01-01 00:15:00,13-8,145,1p_household
140,2024-01-01 00:15:00,13-4,142,1p_household
