msg_count_gwgw,9216,,,
msg_cnt_gw_ce,5088,,,
value,time,ID,orig_measurement,type
260,2024-01-01 00:00:00,5-0,261,2p_household
260,2024-01-01 00:00:00,5-3,259,2p_household
260,2024-01-01 00:00:00,5-7,268,2p_household
400,2024-01-01 00:00:00,5-1,399,3p_household
400,2024-01-01 00:00:00,5-4,413,4p_household
170,2024-01-01 00:00:00,5-2,165,1p_household
280,2024-01-01 00:00:00,5-5,273,2p_household
380,2024-01-01 00:00:00,5-6,383,3p_household
380,2024-01-01 00:00:00,4-0,389,3p_household
400,2024-01-01 00:00:00,4-1,398,4p_household
400,2024-01-01 00:00:00,4-7,411,4p_household
160,2024-01-01 00:00:00,4-2,158,1p_household
160,2024-01-01 00:00:00,4-4,164,1p_household
160,2024-01-01 00:00:00,4-11,158,1p_household
160,2024-01-01 00:00:00,4-12,159,1p_household
280,2024-01-01 00:00:00,4-3,284,2p_household
280,2024-01-01 00:00:00,4-5,282,2p_household
280,2024-01-01 00:00:00,4-8,279,2p_household
260,2024-01-01 00:00:00,4-6,264,2p_household
260,2024-01-01 00:00:00,4-9,265,2p_household
1040,2024-01-01 00:00:00,4-10,1072,store
400,2024-01-01 00:00:00,14-0,410,3p_household
400,2024-01-01 00:00:00,14-1,396,4p_household
170,2024-01-01 00:00:00,14-2,169,1p_household
160,2024-01-01 00:00:00,14-3,164,1p_household
160,2024-01-01 00:00:00,14-6,161,1p_household
160,2024-01-01 00:00:00,14-9,161,1p_household
280,2024-01-01 00:00:00,14-4,270,2p_household
380,2024-01-01 00:00:00,14-5,388,4p_household
260,2024-01-01 00:00:00,14-7,265,2p_household
260,2024-01-01 00:00:00,14-8,269,2p_household
280,2024-01-01 00:00:00,10-0,272,2p_household
280,2024-01-01 00:00:00,10-5,278,2p_household
400,2024-01-01 00:00:00,10-1,410,3p_household
380,2024-01-01 00:00:00,10-2,382,3p_household
260,2024-01-01 00:00:00,10-3,268,2p_household
260,2024-01-01 00:00:00,10-7,266,2p_household
160,2024-01-01 00:00:00,10-4,161,1p_household
160,2024-01-01 00:00:00,10-8,162,1p_household
170,2024-01-01 00:00:00,10-6,169,1p_household
170,2024-01-01 00:00:00,10-9,167,1p_household
400,2024-01-01 00:00:00,0-0,391,3p_household
260,2024-01-01 00:00:00,0-1,269,2p_household
260,2024-01-01 00:00:00,0-2,262,2p_household
160,2024-01-01 00:00:00,0-3,161,1p_household
160,2024-01-01 00:00:00,0-4,162,1p_household
170,2024-01-01 00:00:00,0-5,168,1p_household
170,2024-01-01 00:00:00,0-6,168,1p_household
260,2024-01-01 00:15:00,5-3,251,2p_household
260,2024-01-01 00:15:00,5-7,251,2p_household
240,2024-01-01 00:15:00,5-0,242,2p_household
240,2024-01-01 00:15:00,5-5,238,2p_household
360,2024-01-01 00:15:00,5-1,363,3p_household
360,2024-01-01 00:15:00,5-4,367,4p_household
160,2024-01-01 00:15:00,5-2,156,1p_household
340,2024-01-01 00:15:00,5-6,347,3p_household
360,2024-01-01 00:15:00,4-0,367,3p_household
360,2024-01-01 00:15:00,4-1,352,4p_household
140,2024-01-01 00:15:00,4-2,144,1p_household
140,2024-01-01 00:15:00,4-11,144,1p_household
140,2024-01-01 00:15:00,4-12,142,1p_household
240,2024-01-01 00:15:00,4-3,249,2p_household
240,2024-01-01 00:15:00,4-5,240,2p_household
240,2024-01-01 00:15:00,4-6,241,2p_household
240,2024-01-01 00:15:00,4-8,237,2p_household
240,2024-01-01 00:15:00,4-9,238,2p_household
150,2024-01-01 00:15:00,4-4,152,1p_household
340,2024-01-01 00:15:00,4-7,341,4p_household
1120,2024-01-01 00:15:00,4-10,1110,store
380,2024-01-01 00:15:00,14-5,370,4p_household
380,2024-01-01 00:15:00,14-1,375,4p_household
260,2024-01-01 00:15:00,14-4,257,2p_household
360,2024-01-01 00:15:00,14-0,359,3p_household
150,2024-01-01 00:15:00,14-2,153,1p_household
150,2024-01-01 00:15:00,14-6,147,1p_household
140,2024-01-01 00:15:00,14-3,144,1p_household
140,2024-01-01 00:15:00,14-9,143,1p_household
240,2024-01-01 00:15:00,14-7,245,2p_household
240,2024-01-01 00:15:00,14-8,247,2p_household
260,2024-01-01 00:15:00,10-3,256,2p_household
260,2024-01-01 00:15:00,10-7,255,2p_household
240,2024-01-01 00:15:00,10-0,235,2p_household
240,2024-01-01 00:15:00,10-5,241,2p_household
340,2024-01-01 00:15:00,10-1,347,3p_household
360,2024-01-01 00:15:00,10-2,368,3p_household
150,2024-01-01 00:15:00,10-4,146,1p_household
150,2024-01-01 00:15:00,10-6,148,1p_household
150,2024-01-01 00:15:00,10-9,151,1p_household
140,2024-01-01 00:15:00,10-8,144,1p_household
340,2024-01-01 00:15:00,0-0,342,3p_household
240,2024-01-01 00:15:00,0-1,247,2p_household
240,2024-01-01 00:15:00,0-2,243,2p_household
150,2024-01-01 00:15:00,0-3,152,1p_household
150,2024-01-01 00:15:00,0-4,147,1p_household
150,2024-01-01 00:15:00,0-6,154,1p_household
140,2024-01-01 00:15:00,0-5,142,1p_household
220,2024-01-01 00:30:00,5-0,228,2p_household
220,2024-01-01 00:30:00,5-3,229,2p_household
220,2024-01-01 00:30:00,5-5,216,2p_household
220,2024-01-01 00:30:00,5-7,213,2p_household
320,2024-01-01 00:30:00,5-1,312,3p_household
320,2024-01-01 00:30:00,5-4,326,4p_household
320,2024-01-01 00:30:00,5-6,325,3p_household
130,2024-01-01 00:30:00,5-2,128,1p_household
140,2024-01-01 00:30:00,4-2,138,1p_household
140,2024-01-01 00:30:00,4-12,137,1p_household
1120,2024-01-01 00:30:00,4-10,1080,store
320,2024-01-01 00:30:00,4-0,316,3p_household
320,2024-01-01 00:30:00,4-7,314,4p_household
300,2024-01-01 00:30:00,4-1,308,4p_household
220,2024-01-01 00:30:00,4-3,210,2p_household
220,2024-01-01 00:30:00,4-5,220,2p_household
220,2024-01-01 00:30:00,4-6,210,2p_household
220,2024-01-01 00:30:00,4-8,217,2p_household
220,2024-01-01 00:30:00,4-9,214,2p_household
130,2024-01-01 00:30:00,4-4,129,1p_household
130,2024-01-01 00:30:00,4-11,134,1p_household
140,2024-01-01 00:30:00,14-6,135,1p_household
320,2024-01-01 00:30:00,14-0,316,3p_household
320,2024-01-01 00:30:00,14-5,328,4p_household
340,2024-01-01 00:30:00,14-1,333,4p_household
130,2024-01-01 00:30:00,14-2,130,1p_household
130,2024-01-01 00:30:00,14-3,133,1p_household
130,2024-01-01 00:30:00,14-9,129,1p_household
220,2024-01-01 00:30:00,14-4,219,2p_household
220,2024-01-01 00:30:00,14-7,228,2p_household
220,2024-01-01 00:30:00,14-8,225,2p_household
140,2024-01-01 00:30:00,10-6,138,1p_household
140,2024-01-01 00:30:00,10-9,138,1p_household
220,2024-01-01 00:30:00,10-0,214,2p_household
220,2024-01-01 00:30:00,10-3,215,2p_household
220,2024-01-01 00:30:00,10-5,221,2p_household
220,2024-01-01 00:30:00,10-7,216,2p_household
320,2024-01-01 00:30:00,10-1,328,3p_household
320,2024-01-01 00:30:00,10-2,319,3p_household
130,2024-01-01 00:30:00,10-4,132,1p_household
130,2024-01-01 00:30:00,10-8,134,1p_household
340,2024-01-01 00:30:00,0-0,335,3p_household
240,2024-01-01 00:30:00,0-2,230,2p_household
140,2024-01-01 00:30:00,0-3,139,1p_household
140,2024-01-01 00:30:00,0-4,139,1p_household
220,2024-01-01 00:30:00,0-1,226,2p_household
