Gewerbe allgemein,,,,,,,,,
G0,Winter,,,Sommer,,,Übergangszeit,,
[W],Samstag,Sonntag,Werktag,Samstag,Sonntag,Werktag,Samstag,Sonntag,Werktag
0:15,70.0,63.2,65.5,74.6,68.8,71.5,75.8,68.3,73.0
0:30,73.0,61.0,62.6,76.2,67.4,69.0,76.7,66.5,70.1
0:45,75.9,58.9,59.6,77.7,65.7,66.3,77.7,64.6,67.1
1:00,77.6,57.0,57.0,78.5,63.5,63.5,78.5,62.6,64.5
1:15,77.1,55.3,54.8,77.9,60.9,60.9,78.5,60.3,62.3
1:30,75.0,53.7,53.1,76.3,58.0,58.6,77.8,57.9,60.6
1:45,72.1,52.1,51.7,74.1,55.4,56.6,76.6,55.5,59.2
2:00,69.1,50.5,50.5,71.9,53.3,55.1,74.7,53.3,57.9
2:15,66.8,48.7,49.4,70.2,52.0,54.2,72.6,51.2,56.7
2:30,65.1,46.9,48.5,68.9,51.4,53.7,70.4,49.5,55.6
2:45,64.1,45.2,47.9,67.9,51.0,53.4,68.5,48.0,54.7
3:00,63.5,43.9,47.7,67.3,50.5,53.3,67.3,46.7,54.2
3:15,63.4,43.0,47.9,66.9,49.6,53.1,67.0,45.7,54.1
3:30,63.6,42.5,48.7,66.7,48.5,53.2,67.5,44.9,54.6
3:45,64.0,42.2,50.2,66.8,47.5,54.1,68.3,44.3,55.8
4:00,64.5,42.0,52.3,67.3,46.7,56.1,69.1,43.9,57.9
4:15,65.0,41.9,55.1,68.0,46.4,59.4,69.7,43.6,60.9
4:30,65.6,41.8,58.2,69.0,46.5,63.3,70.1,43.5,64.4
4:45,66.3,41.8,61.2,70.0,46.6,67.2,70.5,43.6,68.0
5:00,67.3,42.0,63.5,71.0,46.7,70.1,71.0,43.9,71.0
5:15,68.5,42.6,65.0,71.8,46.6,71.4,71.8,44.5,73.2
5:30,69.9,43.4,66.0,72.4,46.3,71.6,72.5,45.1,74.7
5:45,71.4,44.4,67.1,72.8,46.0,71.2,73.0,45.6,75.7
6:00,72.9,45.8,69.1,72.9,45.8,71.0,72.9,45.8,76.6
6:15,74.4,47.4,72.5,73.0,45.9,71.5,72.2,45.6,77.7
6:30,76.8,49.0,77.1,73.9,46.3,73.1,72.2,45.3,79.3
6:45,81.0,50.4,82.9,77.0,47.2,75.9,74.4,45.2,81.9
7:00,87.8,51.4,89.7,83.2,48.6,80.4,80.4,45.8,86.0
7:15,98.0,51.8,97.6,93.3,50.5,86.6,91.0,47.2,91.9
7:30,110.7,51.7,107.3,106.2,52.6,95.1,105.2,49.1,100.4
7:45,124.8,51.2,119.9,120.5,54.3,106.3,121.2,51.0,111.9
8:00,139.2,50.5,136.4,134.5,55.1,120.5,137.4,52.3,127.1
8:15,153.0,49.6,157.1,147.2,54.8,137.8,152.1,52.8,145.9
8:30,165.4,49.0,179.5,157.8,53.9,156.3,164.9,52.9,166.2
8:45,175.9,48.8,200.5,166.2,53.2,173.4,175.1,53.1,185.2
9:00,184.1,49.5,216.8,171.9,53.3,186.9,182.2,54.2,200.0
9:15,189.5,51.3,226.2,175.0,54.7,195.0,186.1,56.4,208.5
9:30,192.8,53.8,230.0,176.1,57.2,198.7,187.5,59.5,212.1
9:45,195.1,56.8,230.4,176.3,60.0,199.8,187.7,62.7,212.6
10:00,197.1,59.8,229.9,176.6,62.6,200.0,187.8,65.4,212.1
10:15,199.8,62.6,230.0,177.7,64.5,200.6,188.7,67.2,212.2
10:30,202.7,65.1,231.2,179.4,65.9,201.9,190.1,68.5,213.1
