Laden/Friseur,,,,,,,,,
G4,Winter,,,Sommer,,,Übergangszeit,,
[W],Samstag,Sonntag,Werktag,Samstag,Sonntag,Werktag,Samstag,Sonntag,Werktag
0:15,62.2,57.7,62.1,75.3,68.7,74.5,67.2,63.1,67.2
0:30,61.2,56.4,60.8,75.5,68.3,73.6,65.9,62.2,66.1
0:45,60.1,55.0,59.5,75.7,68.0,72.8,64.8,61.3,64.9
1:00,59.4,54.0,58.5,75.6,67.5,72.0,63.9,60.3,63.9
1:15,59.1,53.6,58.0,74.8,66.6,71.0,63.2,59.4,63.0
1:30,59.2,53.6,57.8,73.6,65.6,70.0,62.7,58.6,62.2
1:45,59.4,53.8,57.7,72.3,64.6,69.1,62.4,58.0,61.6
2:00,59.4,54.0,57.6,71.1,63.9,68.4,62.1,57.6,61.2
2:15,59.1,54.0,57.2,70.3,63.7,68.0,61.8,57.4,61.1
2:30,58.6,53.7,56.6,69.8,63.7,67.9,61.6,57.4,61.1
2:45,58.0,53.4,56.1,69.5,63.9,67.7,61.3,57.5,61.2
3:00,57.6,53.1,55.8,69.3,63.9,67.5,61.2,57.6,61.2
3:15,57.5,52.9,55.9,69.0,63.6,67.0,61.1,57.7,61.1
3:30,57.5,52.7,56.2,68.8,63.0,66.4,61.1,57.7,60.9
3:45,57.6,52.5,56.6,68.6,62.5,65.9,61.1,57.7,60.6
4:00,57.6,52.2,56.7,68.4,62.1,65.7,61.2,57.6,60.3
4:15,57.4,51.8,56.5,68.3,62.0,65.8,61.3,57.4,60.0
4:30,57.2,51.6,56.2,68.3,62.0,66.1,61.4,57.3,59.8
4:45,57.1,51.6,56.2,68.3,62.1,66.5,61.6,57.3,59.9
5:00,57.6,52.2,56.7,68.4,62.1,66.6,62.1,57.6,60.3
5:15,58.7,53.4,58.0,68.4,61.8,66.4,62.7,58.2,61.1
5:30,60.2,55.2,59.8,68.3,61.5,65.9,63.3,58.9,62.1
5:45,62.0,57.2,61.9,68.1,61.2,65.3,63.5,59.4,62.8
6:00,63.9,59.4,63.9,67.5,61.2,64.8,63.0,59.4,63.0
6:15,65.9,61.5,65.6,66.9,61.6,64.6,61.9,58.7,62.5
6:30,69.3,63.3,67.8,67.7,62.5,65.4,62.0,57.7,62.2
