Bäckerei mit Backstube,,,,,,,,,
G5,Winter,,,Sommer,,,Übergangszeit,,
[W],Samstag,Sonntag,Werktag,Samstag,Sonntag,Werktag,Samstag,Sonntag,Werktag
0:15,66.6,38.9,50.1,91.8,48.8,67.4,75.6,42.5,56.0
0:30,87.3,38.4,47.4,118.3,47.8,61.2,97.6,42.0,51.3
0:45,111.7,38.1,44.9,145.6,46.6,54.6,121.4,41.6,46.6
1:00,137.0,38.3,43.3,168.3,45.3,49.4,143.1,41.3,43.3
1:15,160.7,39.2,43.0,182.2,44.3,46.7,159.4,41.1,42.4
1:30,180.8,40.5,43.8,188.4,43.4,46.0,170.6,40.9,42.9
1:45,195.6,41.7,45.0,189.4,42.8,45.9,177.6,41.0,43.7
2:00,203.5,42.3,46.3,187.4,42.3,45.3,181.4,41.3,43.3
2:15,203.7,42.0,47.5,184.6,42.0,43.9,182.9,41.9,41.4
2:30,198.9,40.9,49.2,182.2,41.9,44.3,183.1,42.6,40.1
2:45,192.6,39.6,52.2,181.2,42.0,50.0,182.9,43.1,42.8
3:00,188.4,38.3,57.4,182.4,42.3,64.5,183.4,43.3,52.4
3:15,189.1,37.4,65.9,186.5,42.8,89.7,185.2,43.0,71.0
3:30,194.0,36.9,78.5,192.6,43.3,121.1,188.7,42.2,95.9
3:45,201.6,36.9,96.5,199.7,43.9,152.6,193.7,41.3,123.5
4:00,210.6,37.3,120.9,206.5,44.3,178.3,200.5,40.3,150.1
4:15,219.6,38.0,151.7,212.3,44.6,193.7,208.8,39.5,172.6
4:30,228.2,39.0,184.7,217.0,44.8,200.6,217.5,39.0,190.3
4:45,236.0,40.2,214.5,221.0,45.0,202.4,225.2,38.9,203.3
5:00,242.8,41.3,235.8,224.7,45.3,202.5,230.7,39.3,211.6
5:15,248.4,42.3,244.7,228.3,46.0,203.8,233.1,40.4,215.4
5:30,252.5,43.4,244.2,231.5,46.8,206.0,232.9,42.0,216.2
5:45,255.0,44.7,238.7,234.1,48.0,208.6,231.4,44.0,215.7
6:00,255.9,46.3,232.7,235.8,49.4,210.6,229.7,46.3,215.6
6:15,255.1,48.5,229.8,236.2,51.0,211.5,228.7,48.8,217.2
6:30,253.2,51.0,229.8,235.8,52.7,211.5,228.4,51.2,220.0
6:45,250.5,53.4,231.4,234.8,54.2,211.1,228.8,53.2,223.1
7:00,247.9,55.4,233.8,233.8,55.4,210.6,229.7,54.4,225.7
7:15,245.4,56.8,235.7,232.6,56.2,210.3,230.9,54.8,227.0
7:30,242.0,57.6,237.1,230.4,56.5,210.3,230.9,54.4,226.9
7:45,236.2,57.8,237.9,225.9,56.6,210.4,228.0,53.5,225.8
8:00,226.7,57.4,237.8,217.6,56.4,210.6,220.7,52.4,223.7
8:15,212.7,56.6,236.9,204.9,56.2,210.8,207.9,51.3,220.8
8:30,196.2,55.7,235.4,189.4,55.9,210.8,191.8,50.4,217.7
8:45,180.2,54.8,233.6,173.1,55.6,210.4,175.3,50.1,214.8
9:00,167.3,54.4,231.7,158.2,55.4,209.6,161.2,50.4,212.6
9:15,159.5,54.6,230.0,146.4,55.4,208.1,151.7,51.6,211.3
9:30,155.5,55.4,228.1,137.7,55.7,205.8,145.9,53.5,210.5
9:45,153.4,56.7,225.4,131.7,56.7,202.6,142.2,55.8,209.1
10:00,151.1,58.4,221.7,128.0,58.4,198.5,139.0,58.4,206.5
10:15,147.0,60.4,216.4,126.0,61.2,193.4,135.1,61.1,202.2
10:30,141.5,62.5,210.2,125.3,64.5,187.8,130.6,63.7,196.5
10:45,135.6,64.6,203.7,125.2,68.1,182.3,126.0,66.2,190.3
11:00,130.0,66.5,197.5,124.9,71.5,177.3,121.9,68.5,184.4
11:15,125.6,68.2,192.0,124.1,74.4,173.3,118.8,70.6,179.2
11:30,122.7,69.6,186.8,123.2,76.7,169.7,116.9,72.4,174.3
11:45,121.4,70.7,181.1,122.6,78.4,165.6,116.5,73.7,168.9
12:00,121.9,71.5,174.3,122.9,79.6,160.2,117.9,74.6,162.2
12:15,124.1,72.0,165.9,124.4,80.2,153.0,120.8,74.8,153.7
12:30,126.4,72.1,156.2,125.9,80.1,144.7,123.8,74.4,144.2
12:45,127.0,71.7,146.1,125.9,79.2,136.0,124.8,73.3,134.6
13:00,123.9,70.5,136.0,122.9,77.6,128.0,121.9,71.5,125.9
13:15,116.1,68.7,126.7,116.0,75.1,121.3,113.9,69.1,119.1
13:30,105.0,66.3,118.7,106.4,72.1,116.6,102.6,66.3,114.2
13:45,93.1,63.8,112.6,96.0,69.1,114.0,90.3,63.7,111.1
14:00,82.6,61.5,108.8,86.6,66.5,113.9,79.6,61.5,109.8
14:15,75.3,59.5,107.7,79.8,64.6,116.3,72.3,60.0,110.1
14:30,70.8,58.0,108.4,75.6,63.5,120.1,68.1,59.3,111.4
