value,time,ID,orig_measurement,type
170,2024-01-01 00:00:00,13-0,170,1p_household
160,2024-01-01 00:00:00,13-1,163,1p_household
170,2024-01-01 00:00:00,13-2,170,1p_household
260,2024-01-01 00:00:00,13-3,261,2p_household
280,2024-01-01 00:00:00,13-4,275,2p_household
400,2024-01-01 00:00:00,13-5,413,3p_household
160,2024-01-01 00:00:00,7-0,159,1p_household
280,2024-01-01 00:00:00,7-1,273,2p_household
160,2024-01-01 00:00:00,7-2,164,1p_household
170,2024-01-01 00:00:00,7-3,171,1p_household
170,2024-01-01 00:00:00,7-4,171,1p_household
170,2024-01-01 00:00:00,7-5,169,1p_household
280,2024-01-01 00:00:00,7-6,278,2p_household
380,2024-01-01 00:00:00,7-7,379,3p_household
160,2024-01-01 00:00:00,7-8,157,1p_household
260,2024-01-01 00:00:00,10-0,267,2p_household
170,2024-01-01 00:00:00,10-1,170,1p_household
380,2024-01-01 00:00:00,10-2,387,3p_household
260,2024-01-01 00:00:00,10-3,266,2p_household
260,2024-01-01 00:00:00,10-4,269,2p_household
260,2024-01-01 00:00:00,10-5,267,2p_household
160,2024-01-01 00:00:00,10-6,162,1p_household
1120,2024-01-01 00:00:00,10-7,1105,store
280,2024-01-01 00:00:00,10-8,273,2p_household
170,2024-01-01 00:00:00,10-9,170,1p_household
260,2024-01-01 00:00:00,4-0,267,2p_household
380,2024-01-01 00:00:00,4-1,387,4p_household
400,2024-01-01 00:00:00,4-2,395,4p_household
260,2024-01-01 00:00:00,4-3,264,2p_household
170,2024-01-01 00:00:00,4-4,168,1p_household
400,2024-01-01 00:00:00,4-5,408,4p_household
160,2024-01-01 00:00:00,3-0,157,1p_household
280,2024-01-01 00:00:00,3-1,279,2p_household
400,2024-01-01 00:00:00,3-2,415,3p_household
280,2024-01-01 00:00:00,3-3,280,2p_household
160,2024-01-01 00:00:00,3-4,159,1p_household
280,2024-01-01 00:00:00,3-5,270,2p_household
170,2024-01-01 00:00:00,3-6,168,1p_household
170,2024-01-01 00:00:00,3-7,170,1p_household
280,2024-01-01 00:00:00,3-8,284,2p_household
150,2024-01-01 00:15:00,13-0,152,1p_household
150,2024-01-01 00:15:00,13-1,146,1p_household
150,2024-01-01 00:15:00,13-2,154,1p_household
240,2024-01-01 00:15:00,13-3,237,2p_household
260,2024-01-01 00:15:00,13-4,251,2p_household
360,2024-01-01 00:15:00,13-5,369,3p_household
150,2024-01-01 00:15:00,7-0,146,1p_household
240,2024-01-01 00:15:00,7-1,242,2p_household
160,2024-01-01 00:15:00,7-2,155,1p_household
