value,time,ID,orig_measurement,type
160,2024-01-01 00:00:00,3-0,163,1p_household
280,2024-01-01 00:00:00,3-1,276,2p_household
400,2024-01-01 00:00:00,3-2,407,3p_household
280,2024-01-01 00:00:00,3-3,275,2p_household
170,2024-01-01 00:00:00,3-4,166,1p_household
280,2024-01-01 00:00:00,3-5,273,2p_household
170,2024-01-01 00:00:00,3-6,170,1p_household
170,2024-01-01 00:00:00,3-7,167,1p_household
280,2024-01-01 00:00:00,3-8,281,2p_household
280,2024-01-01 00:00:00,4-0,283,2p_household
400,2024-01-01 00:00:00,4-1,393,4p_household
400,2024-01-01 00:00:00,4-2,397,4p_household
280,2024-01-01 00:00:00,4-3,277,2p_household
160,2024-01-01 00:00:00,4-4,158,1p_household
400,2024-01-01 00:00:00,4-5,413,4p_household
170,2024-01-01 00:00:00,7-0,167,1p_household
280,2024-01-01 00:00:00,7-1,274,2p_household
170,2024-01-01 00:00:00,7-2,171,1p_household
170,2024-01-01 00:00:00,7-3,170,1p_household
170,2024-01-01 00:00:00,7-4,172,1p_household
170,2024-01-01 00:00:00,7-5,165,1p_household
260,2024-01-01 00:00:00,7-6,263,2p_household
380,2024-01-01 00:00:00,7-7,389,3p_household
170,2024-01-01 00:00:00,7-8,169,1p_household
280,2024-01-01 00:00:00,10-0,284,2p_household
170,2024-01-01 00:00:00,10-1,172,1p_household
400,2024-01-01 00:00:00,10-2,411,3p_household
280,2024-01-01 00:00:00,10-3,282,2p_household
280,2024-01-01 00:00:00,10-4,276,2p_household
280,2024-01-01 00:00:00,10-5,283,2p_household
160,2024-01-01 00:00:00,10-6,158,1p_household
1120,2024-01-01 00:00:00,10-7,1110,store
280,2024-01-01 00:00:00,10-8,282,2p_household
160,2024-01-01 00:00:00,10-9,158,1p_household
170,2024-01-01 00:00:00,13-0,169,1p_household
160,2024-01-01 00:00:00,13-1,159,1p_household
160,2024-01-01 00:00:00,13-2,160,1p_household
280,2024-01-01 00:00:00,13-3,276,2p_household
280,2024-01-01 00:00:00,13-4,274,2p_household
400,2024-01-01 00:00:00,13-5,391,3p_household
240,2024-01-01 00:15:00,4-0,239,2p_household
360,2024-01-01 00:15:00,4-1,362,4p_household
340,2024-01-01 00:15:00,4-2,347,4p_household
260,2024-01-01 00:15:00,4-3,255,2p_household
150,2024-01-01 00:15:00,4-4,151,1p_household
360,2024-01-01 00:15:00,4-5,350,4p_household
140,2024-01-01 00:15:00,7-0,144,1p_household
240,2024-01-01 00:15:00,7-1,237,2p_household
160,2024-01-01 00:15:00,7-2,155,1p_household
150,2024-01-01 00:15:00,7-3,153,1p_household
150,2024-01-01 00:15:00,7-4,150,1p_household
160,2024-01-01 00:15:00,7-5,156,1p_household
240,2024-01-01 00:15:00,7-6,237,2p_household
360,2024-01-01 00:15:00,7-7,354,3p_household
160,2024-01-01 00:15:00,7-8,156,1p_household
240,2024-01-01 00:15:00,10-0,248,2p_household
160,2024-01-01 00:15:00,10-1,155,1p_household
360,2024-01-01 00:15:00,10-2,365,3p_household
240,2024-01-01 00:15:00,10-3,238,2p_household
240,2024-01-01 00:15:00,10-4,245,2p_household
240,2024-01-01 00:15:00,10-5,237,2p_household
150,2024-01-01 00:15:00,10-6,149,1p_household
1120,2024-01-01 00:15:00,10-7,1128,store
260,2024-01-01 00:15:00,10-8,250,2p_household
140,2024-01-01 00:15:00,10-9,144,1p_household
