value,time,ID,orig_measurement,type
160,2024-01-01 00:00:00,8-0,164,1p_household
280,2024-01-01 00:00:00,8-1,270,2p_household
170,2024-01-01 00:00:00,8-2,167,1p_household
260,2024-01-01 00:00:00,8-3,266,2p_household
170,2024-01-01 00:00:00,8-4,168,1p_household
400,2024-01-01 00:00:00,8-5,391,3p_household
280,2024-01-01 00:00:00,8-6,282,2p_household
170,2024-01-01 00:00:00,11-0,168,1p_household
170,2024-01-01 00:00:00,11-1,170,1p_household
170,2024-01-01 00:00:00,11-2,165,1p_household
400,2024-01-01 00:00:00,11-3,409,3p_household
280,2024-01-01 00:00:00,11-4,283,2p_household
170,2024-01-01 00:00:00,11-5,171,1p_household
260,2024-01-01 00:00:00,11-6,266,2p_household
400,2024-01-01 00:00:00,11-7,415,3p_household
160,2024-01-01 00:00:00,11-8,158,1p_household
260,2024-01-01 00:00:00,5-0,259,2p_household
170,2024-01-01 00:00:00,5-1,168,1p_household
160,2024-01-01 00:00:00,5-2,160,1p_household
160,2024-01-01 00:00:00,5-3,160,1p_household
160,2024-01-01 00:00:00,5-4,164,1p_household
280,2024-01-01 00:00:00,5-5,278,2p_household
400,2024-01-01 00:00:00,5-6,397,4p_household
400,2024-01-01 00:00:00,5-7,407,4p_household
280,2024-01-01 00:00:00,5-8,278,2p_household
380,2024-01-01 00:00:00,5-9,385,4p_household
170,2024-01-01 00:00:00,5-10,167,1p_household
260,2024-01-01 00:00:00,13-0,263,2p_household
280,2024-01-01 00:00:00,13-1,275,2p_household
160,2024-01-01 00:00:00,13-2,159,1p_household
160,2024-01-01 00:00:00,13-3,161,1p_household
160,2024-01-01 00:00:00,13-4,157,1p_household
380,2024-01-01 00:00:00,13-5,378,4p_household
280,2024-01-01 00:00:00,13-6,284,2p_household
400,2024-01-01 00:00:00,13-7,400,4p_household
170,2024-01-01 00:00:00,13-8,165,1p_household
400,2024-01-01 00:00:00,3-0,395,4p_household
170,2024-01-01 00:00:00,3-1,170,1p_household
260,2024-01-01 00:00:00,3-2,266,2p_household
1200,2024-01-01 00:00:00,3-3,1171,store
260,2024-01-01 00:00:00,3-4,263,2p_household
170,2024-01-01 00:00:00,3-5,167,1p_household
260,2024-01-01 00:00:00,3-6,266,2p_household
160,2024-01-01 00:00:00,3-7,164,1p_household
160,2024-01-01 00:00:00,3-8,161,1p_household
150,2024-01-01 00:15:00,8-0,148,1p_household
240,2024-01-01 00:15:00,8-1,236,2p_household
150,2024-01-01 00:15:00,8-2,149,1p_household
240,2024-01-01 00:15:00,8-3,242,2p_household
150,2024-01-01 00:15:00,8-4,151,1p_household
380,2024-01-01 00:15:00,8-5,374,3p_household
240,2024-01-01 00:15:00,8-6,245,2p_household
160,2024-01-01 00:15:00,11-0,155,1p_household
150,2024-01-01 00:15:00,11-1,151,1p_household
150,2024-01-01 00:15:00,11-2,151,1p_household
340,2024-01-01 00:15:00,11-3,349,3p_household
240,2024-01-01 00:15:00,11-4,241,2p_household
150,2024-01-01 00:15:00,11-5,151,1p_household
260,2024-01-01 00:15:00,11-6,254,2p_household
340,2024-01-01 00:15:00,11-7,341,3p_household
150,2024-01-01 00:15:00,11-8,147,1p_household
240,2024-01-01 00:15:00,5-0,248,2p_household
150,2024-01-01 00:15:00,5-1,146,1p_household
160,2024-01-01 00:15:00,5-2,156,1p_household
140,2024-01-01 00:15:00,5-3,144,1p_household
140,2024-01-01 00:15:00,5-4,144,1p_household
240,2024-01-01 00:15:00,5-5,236,2p_household
360,2024-01-01 00:15:00,5-6,354,4p_household
340,2024-01-01 00:15:00,5-7,349,4p_household
240,2024-01-01 00:15:00,5-8,242,2p_household
340,2024-01-01 00:15:00,5-9,346,4p_household
150,2024-01-01 00:15:00,5-10,150,1p_household
260,2024-01-01 00:15:00,13-0,253,2p_household
260,2024-01-01 00:15:00,13-1,254,2p_household
150,2024-01-01 00:15:00,13-2,148,1p_household
140,2024-01-01 00:15:00,13-3,144,1p_household
150,2024-01-01 00:15:00,13-4,148,1p_household
360,2024-01-01 00:15:00,13-5,361,4p_household
260,2024-01-01 00:15:00,13-6,254,2p_household
360,2024-01-01 00:15:00,13-7,353,4p_household
150,2024-01-01 00:15:00,13-8,146,1p_household
360,2024-01-01 00:15:00,3-0,353,4p_household
140,2024-01-01 00:15:00,3-1,143,1p_household
260,2024-01-01 00:15:00,3-2,256,2p_household
1120,2024-01-01 00:15:00,3-3,1117,store
240,2024-01-01 00:15:00,3-4,240,2p_household
140,2024-01-01 00:15:00,3-5,144,1p_household
240,2024-01-01 00:15:00,3-6,234,2p_household
160,2024-01-01 00:15:00,3-7,155,1p_household
140,2024-01-01 00:15:00,3-8,142,1p_household
130,2024-01-01 00:30:00,8-0,133,1p_household
220,2024-01-01 00:30:00,8-1,214,2p_household
130,2024-01-01 00:30:00,8-2,134,1p_household
220,2024-01-01 00:30:00,8-3,226,2p_household
130,2024-01-01 00:30:00,8-4,127,1p_household
320,2024-01-01 00:30:00,8-5,317,3p_household
220,2024-01-01 00:30:00,8-6,210,2p_household
130,2024-01-01 00:30:00,11-0,130,1p_household
140,2024-01-01 00:30:00,11-1,137,1p_household
140,2024-01-01 00:30:00,11-2,139,1p_household
320,2024-01-01 00:30:00,11-3,329,3p_household
220,2024-01-01 00:30:00,11-4,214,2p_household
130,2024-01-01 00:30:00,11-5,131,1p_household
240,2024-01-01 00:30:00,11-6,230,2p_household
320,2024-01-01 00:30:00,11-7,313,3p_household
130,2024-01-01 00:30:00,11-8,128,1p_household
220,2024-01-01 00:30:00,5-0,214,2p_household
130,2024-01-01 00:30:00,5-1,129,1p_household
130,2024-01-01 00:30:00,5-2,132,1p_household
130,2024-01-01 00:30:00,5-3,130,1p_household
130,2024-01-01 00:30:00,5-4,134,1p_household
220,2024-01-01 00:30:00,5-5,228,2p_household
340,2024-01-01 00:30:00,5-6,332,4p_household
320,2024-01-01 00:30:00,5-7,313,4p_household
240,2024-01-01 00:30:00,5-8,230,2p_household
