n_gw,n_max_sm,z,type,n_pub,n_total,pub_ratio,d_t,scenario,dist_sm,seed
5,20,1,4p_household,384,384,1.0,7260,centralized,normal,1
5,20,1,3p_household,1344,1344,1.0,7260,centralized,normal,1
5,20,1,2p_household,672,672,1.0,7260,centralized,normal,1
5,20,1,1p_household,1632,1632,1.0,7260,centralized,normal,1
5,20,1,store,96,96,1.0,7260,centralized,normal,2
5,20,1,4p_household,576,576,1.0,7260,centralized,normal,2
5,20,1,3p_household,288,288,1.0,7260,centralized,normal,2
5,20,1,2p_household,1344,1344,1.0,7260,centralized,normal,2
5,20,1,1p_household,2016,2016,1.0,7260,centralized,normal,2
5,20,1,store,96,96,1.0,7260,centralized,normal,3
5,20,1,3p_household,384,384,1.0,7260,centralized,normal,3
5,20,1,4p_household,288,288,1.0,7260,centralized,normal,3
5,20,1,2p_household,1440,1440,1.0,7260,centralized,normal,3
5,20,1,1p_household,1632,1632,1.0,7260,centralized,normal,3
5,20,1,3p_household,480,480,1.0,7260,centralized,normal,4
5,20,1,4p_household,288,288,1.0,7260,centralized,normal,4
5,20,1,2p_household,960,960,1.0,7260,centralized,normal,4
5,20,1,1p_household,2496,2496,1.0,7260,centralized,normal,4
5,20,1,store,96,96,1.0,7260,centralized,normal,5
5,20,1,3p_household,672,672,1.0,7260,centralized,normal,5
5,20,1,4p_household,480,480,1.0,7260,centralized,normal,5
5,20,1,2p_household,1728,1728,1.0,7260,centralized,normal,5
5,20,1,1p_household,1632,1632,1.0,7260,centralized,normal,5
5,20,1,1p_household,1632,1632,1.0,7260,deZent,normal,1
5,20,1,4p_household,384,384,1.0,7260,deZent,normal,1
5,20,1,2p_household,672,672,1.0,7260,deZent,normal,1
5,20,1,3p_household,1344,1344,1.0,7260,deZent,normal,1
5,20,1,1p_household,2016,2016,1.0,7260,deZent,normal,2
5,20,1,4p_household,576,576,1.0,7260,deZent,normal,2
5,20,1,2p_household,1344,1344,1.0,7260,deZent,normal,2
5,20,1,3p_household,288,288,1.0,7260,deZent,normal,2
5,20,1,store,96,96,1.0,7260,deZent,normal,2
5,20,1,2p_household,1440,1440,1.0,7260,deZent,normal,3
5,20,1,1p_household,1632,1632,1.0,7260,deZent,normal,3
5,20,1,3p_household,384,384,1.0,7260,deZent,normal,3
5,20,1,4p_household,288,288,1.0,7260,deZent,normal,3
5,20,1,store,96,96,1.0,7260,deZent,normal,3
5,20,1,2p_household,960,960,1.0,7260,deZent,normal,4
5,20,1,1p_household,2496,2496,1.0,7260,deZent,normal,4
5,20,1,4p_household,288,288,1.0,7260,deZent,normal,4
5,20,1,3p_household,480,480,1.0,7260,deZent,normal,4
5,20,1,2p_household,1728,1728,1.0,7260,deZent,normal,5
5,20,1,3p_household,672,672,1.0,7260,deZent,normal,5
5,20,1,1p_household,1632,1632,1.0,7260,deZent,normal,5
5,20,1,4p_household,480,480,1.0,7260,deZent,normal,5
5,20,1,store,96,96,1.0,7260,deZent,normal,5
5,20,1,1p_household,1632,1632,1.0,7260,fully decentralized,normal,1
5,20,1,4p_household,384,384,1.0,7260,fully decentralized,normal,1
5,20,1,3p_household,1344,1344,1.0,7260,fully decentralized,normal,1
5,20,1,2p_household,672,672,1.0,7260,fully decentralized,normal,1
5,20,1,1p_household,2016,2016,1.0,7260,fully decentralized,normal,2
5,20,1,2p_household,1344,1344,1.0,7260,fully decentralized,normal,2
5,20,1,3p_household,288,288,1.0,7260,fully decentralized,normal,2
5,20,1,4p_household,576,576,1.0,7260,fully decentralized,normal,2
5,20,1,store,96,96,1.0,7260,fully decentralized,normal,2
5,20,1,1p_household,1632,1632,1.0,7260,fully decentralized,normal,3
5,20,1,2p_household,1440,1440,1.0,7260,fully decentralized,normal,3
5,20,1,3p_household,384,384,1.0,7260,fully decentralized,normal,3
5,20,1,store,96,96,1.0,7260,fully decentralized,normal,3
5,20,1,4p_household,288,288,1.0,7260,fully decentralized,normal,3
5,20,1,3p_household,480,480,1.0,7260,fully decentralized,normal,4
5,20,1,2p_household,960,960,1.0,7260,fully decentralized,normal,4
5,20,1,1p_household,2496,2496,1.0,7260,fully decentralized,normal,4
5,20,1,4p_household,288,288,1.0,7260,fully decentralized,normal,4
5,20,1,2p_household,1728,1728,1.0,7260,fully decentralized,normal,5
5,20,1,3p_household,672,672,1.0,7260,fully decentralized,normal,5
5,20,1,4p_household,480,480,1.0,7260,fully decentralized,normal,5
5,20,1,1p_household,1632,1632,1.0,7260,fully decentralized,normal,5
5,20,1,store,96,96,1.0,7260,fully decentralized,normal,5
